lon,lat
-73.81867946,40.79411067
-73.91117077,40.78242823
-73.91201957,40.78173511
-73.82768034,40.70404652
-73.91127902,40.78233983
-73.82720922,40.71490997
-73.80826026,40.74068684
-73.89540541,40.76686765
-73.88730078,40.75088939
-73.81946649,40.793138
-73.82819499,40.7049445
-73.9120953,40.78075207
-73.85444599,40.71316969
-73.91102561,40.78254676
-73.85501988,40.71247961
-73.85213797,40.7126411
-73.8544597,40.71338389
-73.85210323,40.71269661
-73.91201937,40.78081459
-73.91106905,40.78159709
-73.79811408,40.76762905
-73.85066148,40.71498666
-73.91084617,40.78178061
-73.79787009999998,40.76760837
-73.82961562,40.70649325
-73.85600425,40.72877985
-73.91633969,40.77399973
-73.77234286,40.59626688
-73.77245394,40.59683648
-73.86526993,40.739990999999996
-73.75365462,40.66362636
-73.73473543,40.703218
-73.85049293,40.715253000000004
-73.89080443,40.77079674
-73.82895529,40.75195241
-73.82549632,40.71219318
-73.82794408,40.71175384
-73.87162804,40.764165999999996
-73.92575935,40.76206839
-73.81814429,40.58401171
-73.83049495,40.71266167
-73.78793925,40.73275126
-73.83485946,40.75395021
-73.89434096,40.76810089999999
-73.78633372,40.76280482
-73.85446422,40.71171868
-73.85018599,40.57619607
-73.88713449,40.74996589
-73.86658672,40.68844787
-73.82714606,40.76980427
-73.92810436,40.7631618
-73.82864619,40.58211738
-73.82538142,40.58306474
-73.82831042,40.58221487
-73.91480707,40.70871281
-73.82405773,40.58344881
-73.82387099,40.58350299
-73.88841976,40.75182477
-73.92783662,40.74222798
-73.75058098,40.69414597
-73.91459447,40.78343726
-73.91206578,40.78183619
-73.84892202,40.7379165
-73.84843343,40.7375311
-73.79585205,40.76509665
-73.75219521,40.66243464
-73.86006187,40.71947082
-73.75326962,40.67335166
-73.85375548,40.734105299999996
-73.78625396,40.72499955
-73.80829150000001,40.76843137
-73.8932499,40.75237429
-73.83028809999999,40.71266475
-73.85778669,40.73433314
-73.84915064,40.71760215
-73.81811317,40.58396282
-73.90408214,40.70871171
-73.73567337,40.76129482
-73.83966278,40.72128023
-73.89426076,40.75792848
-73.83213744,40.70453556
-73.82703698,40.76982331
-73.82465289,40.58142172
-73.79794186,40.76761445
-73.93086590000001,40.76782574
-73.77418742,40.77048653
-73.74810119,40.67524172
-73.7546477,40.73287782
-73.83329646,40.71449877
-73.8906477,40.76932328
-73.91136021,40.78227353
-73.84344477,40.65353429
-73.79683634,40.59061304
-73.86131975,40.72224466
-73.90344945,40.70687246
-73.74664284,40.59570647
