lon,lat
-73.89249205,40.76679523
-73.86702522,40.69062557
-73.91049677,40.77997369
-73.92842895,40.74040845
-73.82844596,40.70830057
-73.82786478,40.70888305
-73.84012613,40.72124528
-73.89174799,40.74814093
-73.84765087,40.73356505
-73.91393104,40.70491414
-73.75689332,40.66144441
-73.89306081,40.76695268
-73.90801439,40.71171651
-73.82734738,40.70330648
-73.81030302,40.74121031
-73.84686587,40.57589444
-73.89861418,40.77121089
-73.79638611,40.76718416
-73.86523098,40.68939831
-73.82996002,40.71307669
-73.86750731,40.68919755
-73.92106151,40.77709037
-73.74603899,40.59590129
-73.85498163,40.71254054
-73.88782546,40.75830831
-73.83108370000001,40.71321792
-73.81610762,40.79391269
-73.76794943,40.60886747
-73.77803878,40.76727927
-73.88341547,40.74084673
-73.91589429999999,40.77331043
-73.92206064,40.77783013
-73.76298044,40.69177996
-73.80335566,40.59217096
-73.80252706,40.79052991
-73.76075797,40.59613513
-73.90120418,40.69610479
-73.85828597,40.71323869
-73.82413445,40.67544997
-73.89600603,40.76751321
-73.88419821,40.75468029
-73.75242141,40.664480499999996
-73.90677958,40.70546627
-73.86200275,40.74580852
-73.88331825,40.75398406
-73.83426258,40.70395398
-73.82940021,40.70619661
-73.91434189,40.77563693
-73.79842201,40.72093739
-73.82512992,40.58151344
-73.90638887,40.76969396
-73.88028124,40.75328954
-73.89808288,40.76783242
-73.91858808,40.75801681
-73.82157294,40.76036579
-73.86473156,40.74349161
-73.91420959999999,40.70929491
-73.85678201,40.73984749
-73.88221625,40.75350947
-73.79346544,40.73034211
-73.90256969,40.76814021
-73.7595578,40.73344844
-73.93362677,40.743741899999996
-73.79226018,40.73095243
-73.90945054,40.76354566
-73.91136691,40.77166211
-73.87574928,40.75964622
-73.82903645,40.71182199
-73.86890126,40.73579145
-73.78595978,40.72727974
-73.87769453,40.75990436
-73.77511917,40.77095329
-73.91682402,40.77689305
-73.83000362,40.70660326
-73.83273657,40.74735212
-73.93113351,40.74232431
-73.75913018,40.73352072
-73.75711741,40.74126995
-73.80825397,40.74078443
-73.83169029999999,40.71189118
-73.892527,40.70018744
-73.88019778,40.75350815
-73.92282837,40.77719967
-73.87747444,40.75868061
-73.91394242,40.77833392
-73.91364486,40.77620677
-73.85815293,40.73658196
-73.76890583,40.60414056
-73.82712965,40.71126887
-73.91610404,40.77628719
-73.73944858,40.73695183
-73.92166915,40.75446224
-73.89529987,40.75072423
-73.92328288,40.76581973
-73.78117472,40.76194736
-73.70401598,40.74722612
-73.92375909,40.76564316
-73.91399097,40.70971384
-73.79757571,40.76628796
-73.70405156,40.74732172
-73.91743628,40.707149900000005
-73.85738767,40.7290363
-73.72360036,40.72711144
-73.88732942,40.74935949
-73.8951038,40.76777444
-73.88199082,40.73574822
-73.87821706,40.75452418
-73.92095486,40.73751721
-73.7630827,40.66303169
-73.73984625,40.73503753
-73.8296715,40.71212286
-73.72147471,40.72633419
-73.72144383,40.72647553
-73.83858821,40.72361727
-73.91927125,40.77235994
-73.75290654,40.73934866
-73.87978404,40.73601571
-73.91552423,40.71033809
-73.91763652,40.78008778
-73.85656913,40.57747279
-73.73479458,40.73791639
-73.88575444,40.74110259
-73.80602431,40.74201189
-73.90855844,40.77123702
-73.91024787,40.72104899
-73.72015374,40.72782172
-73.77540258,40.76244901
-73.85745288,40.69670266
-73.85448809,40.71213716
-73.90699856,40.69990670000001
-73.81501378,40.58597031
-73.74617546,40.66193768
-73.92092543,40.77698196
-73.91589228,40.70903752
-73.89549531,40.74908187
-73.80362754,40.58932978
-73.87545721,40.73168924
-73.75003732,40.6791341
-73.79156144,40.73031636
-73.86599783,40.74216421
-73.7925957,40.73120937
-73.81730196,40.7927501
-73.90540949999999,40.69870768
-73.86384412,40.68752036
-73.79914317,40.72175477
-73.91057116,40.712857899999996
-73.75162821,40.67792973
-73.78754385,40.72379683
-73.91365357,40.70951563
-73.9257428,40.76668737
-73.90447365,40.77093251
-73.90512483,40.77133039
-73.91573911,40.70881538
-73.73681369,40.73513702
-73.91580691,40.74909695
-73.77727666,40.76140413
-73.85344747,40.70815031
-73.91227834,40.77216523
-73.90663178,40.69745183
-73.88296884,40.75569913
-73.76520759999998,40.76603511
-73.83450162,40.65340212
-73.73860918,40.7320756
-73.88182894,40.72677053
-73.80291361,40.79046351
-73.74051644,40.72921698
-73.90783887,40.74459424
-73.70598379,40.74398286
-73.72099978,40.72854939
-73.84657087,40.70895244
-73.87470254,40.75456656
-73.76311331,40.73449436
-73.78495948,40.76126201
-73.88911643,40.75340493
-73.73207521,40.72921731
-73.83579158,40.69427912
-73.87165607,40.73316479
-73.90733953,40.69957304
-73.76814426,40.76893708
-73.88427975,40.72575463
-73.91604666,40.77961726
-73.88231053,40.72618402
-73.77941605,40.7741888
-73.79564151,40.59690357
-73.92089059,40.75790911
-73.71602372,40.72689649
-73.82859727,40.75189727
-73.89806718,40.7522714
-73.86799814,40.73440847
-73.90673035,40.69999894
-73.85650718,40.73082121
-73.71664649,40.73341804
-73.86852585,40.73437649
-73.75438445,40.74416462
-73.89460315,40.76682226
-73.84502979999999,40.72274663
-73.86377826,40.68722624
-73.84835622,40.7090091
-73.90044885,40.74740238
-73.91463703,40.71003916
-73.929637,40.74031851
-73.73154422,40.72836489
-73.91821221,40.77666287
-73.71698466,40.73395576
-73.90681048,40.74436664
-73.72815803,40.72820583
-73.90736005,40.74264205
-73.73598344,40.7332785
-73.91538374,40.77688137
-73.8341628,40.65473845
-73.87481664,40.733259999999994
-73.72974721,40.72779278
-73.79433066,40.76477327
-73.84760811,40.70869445
-73.77409485,40.76041949
-73.72987403,40.72746354
-73.70524976,40.74792431
-73.91795678,40.77700912
-73.90144852,40.74709444
-73.91091531,40.74580277
-73.72920872,40.72919408
-73.72803176,40.72937284
-73.91001835,40.69962597
-73.74793018,40.70027201
-73.84745327,40.70926148
-73.76706355,40.75867056
-73.7297547,40.72997653
-73.84547614,40.72414503
-73.74893173,40.72035451
-73.73234534,40.72852121
-73.85161219,40.71267135
-73.84240178,40.717084
-73.92713467,40.768542
-73.83002203,40.70166812
-73.75184946,40.74051046
-73.74824494,40.65893097
-73.73327568,40.66943549
-73.90624416,40.74824642
-73.83666511,40.70171549
-73.78551776,40.76832586
-73.783661,40.76830608
-73.91701462,40.7110534
-73.71763399999999,40.72693174
-73.82051728,40.73991627
-73.7267707,40.72757282
-73.75272982,40.65535597
-73.90294759999999,40.74638617
-73.77181679,40.77041398
-73.91832028,40.77671174
-73.71749923,40.72778881
-73.71656174,40.73033706
-73.84520495,40.72357268
-73.89793857,40.75121895
-73.77390789,40.77560393
-73.73551923,40.73096853
-73.73353021,40.73091536
-73.78496419,40.7688983
-73.75175792,40.66170377
-73.87473704,40.74885819
-73.71734194,40.73491803
-73.77159721,40.77066247
-73.71928396,40.72820479
-73.72536147,40.72707468
-73.88299993,40.7256733
-73.71921789,40.72804738
-73.71067833,40.72785205
-73.9009092,40.74829899
-73.77181581,40.77469522
-73.85458906,40.71734864
-73.7320261,40.739744200000004
-73.73071098,40.73006066
-73.75155828,40.72270998
-73.88772097,40.75843509
-73.73797145,40.72901438
-73.74969373,40.60565814
-73.87140504,40.76645541
-73.78435768,40.76808694
-73.71921915,40.72770337
-73.91978651,40.74749094
-73.82070676,40.73920505
-73.92255971,40.77564324
-73.84540171,40.72339023
-73.73461304,40.73023164
-73.79747995,40.76607098
-73.71135179999999,40.74721397
-73.77208739,40.7755218
-73.77140432,40.76027756
-73.83137523,40.70151224
-73.71394759,40.73041795
-73.76656688,40.76743956
-73.78456820000001,40.76849883
-73.72664393,40.73236271
-73.76877717,40.76846228
-73.72861399,40.74048794
-73.8568489,40.57434269
-73.87155559,40.75270875
-73.91965314,40.74815658
-73.83070499,40.65744181
-73.91952324,40.748783700000004
-73.73284157,40.7297736
-73.71091016,40.73063532
-73.70523693,40.74741345
-73.73020392,40.72915162
-73.72105142,40.73211138
-73.73895012,40.73598207
-73.71429039,40.72870721
-73.75131235,40.71879276
-73.7097675,40.72904654
-73.87792249,40.75596838
-73.77208293,40.75990206
-73.91743832,40.76137354
-73.73485877,40.735978700000004
-73.71405244,40.74430114
-73.89129553,40.76061875
-73.88294161,40.72815662
-73.83292539,40.76092508
-73.90237664,40.69720712
-73.8519511,40.57778852
-73.75352913,40.65896418
-73.75113797,40.65970572
-73.90312440000001,40.74635899
-73.70226374,40.74740782
-73.74951882,40.67896613
-73.71828725,40.75109845
-73.77236119,40.7316804
-73.71376239,40.7338511
-73.70949039,40.72990771
-73.82624911,40.76013277
-73.81443811,40.76237919
-73.76180537,40.73349491
-73.77972323,40.77555568
-73.73057293,40.72722246
-73.73464686,40.73014337
-73.70599171,40.74420189
-73.75291286,40.72470082
-73.91947999,40.73889491
-73.70601201,40.75000842
-73.77642362,40.7327335
-73.70169385,40.7478806
-73.71326244,40.73395875
-73.71640831,40.74843966
-73.88538608,40.715346000000004
-73.72660301,40.73201328
-73.91473795,40.71327504
-73.7019263,40.7486869
-73.72926026,40.69383729
-73.82167518,40.7046952
-73.73829108,40.729088
-73.75307742,40.67041109
-73.91963155,40.76217034
-73.92196792,40.76971433
-73.92316353,40.76410884
-73.79381817,40.76728344
-73.72375392,40.73325322
-73.84682738,40.71706135
-73.85409822,40.70929634
-73.72973652,40.69553163
-73.91981852,40.73721265
-73.82432196,40.7623327
-73.76705985,40.76297516
-73.70947578,40.72910906
-73.86119107,40.74923321
-73.71508036,40.73076067
-73.89973093,40.74373819
-73.92906696,40.77276465
-73.7111275,40.73420927
-73.74204359,40.70263841
-73.82869276,40.75811181
-73.71463525,40.74951205
-73.88600641,40.75873946
-73.91528261,40.74903681
-73.91884025,40.76449352
-73.78152187,40.78227334
-73.72711125,40.72702779
-73.70743543,40.74954
-73.71064105,40.74694499
-73.75025263,40.72487549
-73.78908586,40.59271748
-73.88484362,40.75928029
-73.91685804,40.76439162
-73.81737737,40.74019366
-73.7584658,40.74150403
-73.82947154,40.7090684
-73.76410481,40.75838846
