lon,lat
-73.84421522,40.72309177
-73.86529992,40.73764622
-73.82499155,40.70653352
-73.91549691,40.70804012
-73.76764200000001,40.60866168
-73.86525671,40.72186915
-73.89270307,40.70099719
-73.7701119,40.61095304
-73.77954308,40.76629559
-73.82133897,40.70556938
-73.79673994,40.590643
-73.92975138,40.76422556
-73.9156455,40.70789509
-73.88569126,40.75700789
-73.74663781,40.60046522
-73.7582516,40.59542651
-73.83802679,40.71684085
-73.93064686,40.74429618
-73.89883708,40.77010497
-73.86677694,40.68919765
-73.86641802,40.74040120000001
-73.82739421,40.71012681
-73.83481023,40.65080674
-73.82053117,40.70418952
-73.88574506,40.75730537
-73.92994713,40.76433358
-73.73532989,40.76096933
-73.78680445,40.72649202
-73.89124497,40.74721156
-73.90632721,40.71119833
-73.84526096,40.66162954
-73.88853407,40.75245171
-73.91704521,40.77251061
-73.75753424,40.74097723
-73.91780764,40.7769938
-73.90693299,40.75496948
-73.74596367,40.73206678
-73.78788382,40.72603253
-73.90865866,40.7728234
-73.90838705,40.7113515
-73.89165320000001,40.7476616
-73.82778616,40.7039842
-73.91627346,40.77405411
-73.83654739,40.72144156
-73.8905684,40.77082155
-73.81649953,40.73893398
-73.81946246,40.79392978
-73.90812504,40.71160813
-73.73696032,40.76247632
-73.88845505,40.75201834
-73.85054784,40.57682226
-73.89392087,40.75533013
-73.88671828,40.74769222
-73.84244165,40.72418553
-73.83637152,40.71995303
-73.90764766,40.77365475
-73.93025992,40.74425055
-73.76180731,40.60790896
-73.85645713,40.71591631
-73.92171795,40.73785301
-73.90740522,40.71115046
-73.82807339,40.7104418
-73.88689488,40.74867892
-73.91657447,40.77302084
-73.82873131,40.58209266
-73.74334348,40.60014377
-73.91443386,40.75770196
-73.8282253,40.71035078
-73.85563703,40.72888845
-73.83191696,40.71268228
-73.89145398,40.70088389
-73.82977475,40.70403732
-73.82780214,40.7088263
-73.81346418,40.77201446
-73.76188545,40.69245092
-73.81886521,40.79327679
-73.82247616,40.73395382
-73.81830053,40.58403988
-73.78710223,40.72628951
-73.841668,40.78506904
-73.85485782,40.78450429
-73.89980573,40.76854983
-73.90182787,40.77840794
-73.93311482,40.76735246
-73.92886555,40.76641146
-73.75619546,40.59981949
-73.89968359999999,40.76846428
-73.92867649,40.764887
-73.91437957,40.75912529
-73.8705687,40.76468536
-73.91178093,40.78298428
-73.89366094,40.74942107
-73.88847878,40.75889628
-73.88839417,40.74937069
-73.92906638,40.74704414
-73.8638153,40.69147034
-73.80293713,40.58920712
-73.8286902,40.76987233
-73.74311553,40.60014389
-73.81505119,40.77685632
-73.75471651,40.74189745
-73.92942785,40.76607075
-73.88850919,40.75231523
-73.88353468,40.74081107
-73.83227420000001,40.70296295
-73.82827025,40.71162489
-73.8644969,40.6903972
-73.86423947,40.68977202
-73.89166351,40.74771371
-73.90796072,40.7709776
-73.79730913,40.76826128
-73.91403862,40.77497443
-73.81978192,40.60362769
-73.73913101,40.67661152
-73.74851702,40.75194984
-73.8009421,40.72222015
-73.81812064,40.70505569
-73.83440487,40.755397200000004
-73.83421835,40.71465055
-73.88770619,40.74791929
-73.90198455,40.73497509
-73.73779082,40.65793823
-73.92666663,40.7624896
-73.8377908,40.71683202
-73.79725594,40.76864617
